dataset,fold,train_size,validation_size,accuracy,macro_precision,macro_recall,macro_f1,eval_loss
formal,1,13500,3376,0.9511255924170616,0.8623857698115032,0.8644060856242918,0.8632172018806136,0.24772930145263672
formal,2,13501,3375,0.9508148148148148,0.864743272023147,0.8477796366685255,0.856070019370018,0.23631861805915833
formal,3,13501,3375,0.9508148148148148,0.8718654998780897,0.8422217088883756,0.8563942125132423,0.2488810271024704
formal,4,13501,3375,0.9472592592592592,0.8523194976037867,0.8556828779051001,0.8537328500435946,0.24294115602970123
formal,5,13501,3375,0.9543703703703704,0.8749508109954264,0.8674345583974858,0.8711594879255978,0.22308705747127533
informal,1,5414,1354,0.8906942392909897,0.8715354525084501,0.873890909113081,0.8726892775995805,0.4384791851043701
informal,2,5414,1354,0.8840472673559823,0.862338825893017,0.8722653806334074,0.8669353261077636,0.529436469078064
informal,3,5414,1354,0.879615952732644,0.8609542162426557,0.8628475406525266,0.8618883965021448,0.5241013765335083
informal,4,5415,1353,0.8654841093865484,0.8394583296306593,0.85940323212847,0.8477865300860973,0.5181703567504883
informal,5,5415,1353,0.8721359940872137,0.8598557801605509,0.8485270583799055,0.8538522138280947,0.47999313473701477
